기술검토번호,요청일,영업담당자,제품그룹,Location,고객사,Enduser,담당자
ME23-721,2023-11-23 18:17,임현섭,Heat Exchanger Packages,국내,롯데정밀화학(주)인천공장,롯데정밀화학(주)인천공장,유명훈
ME23-720,2023-11-23 13:42,김민곤,Condensate Pumps,국내,에이치디현대오일뱅크(주),에이치디현대오일뱅크(주),김영민
ME23-718,2023-11-22 18:36,하태욱,Condensate Pumps,국내,유신이엔지,한국지엠주식회사,유명훈
ME23-717,2023-11-22 13:53,정숙현,PNEL Controls,국내,삼영플랜트(주),주식회사 동우에너지소재(DONGWOO ENERGY & MATERIAL C,유명훈
ME23-716,2023-11-22 13:44,백성윤(인천),Other STAP,국내,경성 디.에스 주식회사,경성 디.에스 주식회사,유명훈
ME23-715,2023-11-21 19:42,전대수,Ancilaries,국내,(주)하이테크엔지니어링,(No_Tax)금호폴리켐(주)여수공장,박병호
ME23-714,2023-11-21 18:12,전대수,Other STAP,국내,나우이엔지,(No_Tax)포스코(주)광양제철소,노예경
ME23-713,2023-11-21 12:09,전대수,Steam Traps,국내,정엔지니어링(주),(No_Tax)(주)엘지화학 (월내동),유명훈
ME23-712,2023-11-21 9:40,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,노예경
ME23-711,2023-11-21 9:04,김규현,Steam Traps,수출,(주)신성이엔지,(주)신성이엔지,박병호
ME23-710,2023-11-20 16:40,조현지,Ancilaries,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,이건호
ME23-709,2023-11-20 16:33,박근국,Ancilaries,국내,한엔지니어링,GS칼텍스 군산,박병호
ME23-708,2023-11-20 16:30,조현지,Steam Traps,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,이건호
ME23-707,2023-11-17 18:39,이윤석,Clean & Pure Steam Generators,국내,플루오르테크주식회사,플루오르테크주식회사,이건호
ME23-706,2023-11-17 13:56,백성윤(인천),Steam Traps,국내,GS 칼텍스 윤활유공장,GS 칼텍스 윤활유공장,노예경
ME23-705,2023-11-17 11:03,김민곤,Steam Traps,국내,(No_Tax)(주)엘지화학 대산공장,(No_Tax)(주)엘지화학 대산공장,노예경
ME23-704,2023-11-17 10:20,HGN_박장훈,Sundry Products,국내,(No_Tax)(주)서브원 GS 타워,(No_Tax)(주)서브원 GS 타워,유명훈
ME23-703,2023-11-17 8:52,권민성,PNEL Controls,국내,(주)실트론제 2 공장,(주)실트론제 2 공장,유명훈
ME23-702,2023-11-16 10:19,권혁미,PNEL Controls,수출,SPIRAX SARCO CHINA,SPIRAX SARCO CHINA,유명훈
ME23-701,2023-11-15 16:17,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,노예경
ME23-700,2023-11-15 15:48,박근국,Steam Traps,국내,대정개발(주),GS칼텍스 군산,노예경
ME23-699,2023-11-15 10:28,양윤정,Heat Exchanger Packages,국내,㈜GH이앤에이,강원개발공사,유명훈
ME23-698,2023-11-15 10:03,이후원(DO_G),Steam Traps,국내,에스케이에코엔지니어링 주식회사,SK에너지 주식회사 울산 CLX,박병호
ME23-697,2023-11-15 8:24,이동현,SI Humidifiers,국내,한국공조엔지니어링(주),삼성전자(주)평택,유명훈
ME23-696,2023-11-15 8:24,이동현,SI Humidifiers,국내,한국공조엔지니어링(주),삼성전자(주)평택,유명훈
ME23-695,2023-11-14 17:34,황태현,Pressure Controls,수출,현대건설(주),SCOP(이라크),유명훈
ME23-694,2023-11-14 11:35,오영근,Other STAP,국내,예진엔지니어링,한화솔루션(주)여수,노예경
ME23-693,2023-11-14 10:13,장철민,SI Humidifiers,국내,서번산업엔지니어링(주),BAT코리아제조(주),노예경
ME23-692,2023-11-13 17:24,하태욱,Heat Exchanger Packages,국내,유신이엔지,(No_Tax)엘지전자(주)창원２공장,유명훈
ME23-691,2023-11-13 14:48,오영근,Steam Traps,국내,지에스칼텍스(주)여수,지에스칼텍스(주)여수,권일태
ME23-690,2023-11-13 9:33,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,노예경
ME23-689,2023-11-10 9:15,남철규,ABCO,국내,주식회사 동양보일러,신창제지 - 사용불가->30026950,김영민
ME23-688,2023-11-10 8:54,박남용,Water Treatment,국내,이메이트기술(주),코오롱글로벌(주),황규효(PC)
ME23-687,2023-11-10 8:27,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,노예경
ME23-686,2023-11-09 15:33,장우영,Heat Exchanger Packages,국내,삼성이앤에이(주),삼성바이오로직스 주식회사,유명훈
ME23-685,2023-11-09 8:56,장철민,Steam Traps,수출,주식회사협성히스코,바레인 알두루 (Al-Dur) 발전소,노예경
ME23-684,2023-11-09 8:56,장철민,Steam Traps,수출,주식회사협성히스코,바레인 알두루 (Al-Dur) 발전소,노예경
ME23-683,2023-11-08 18:57,황태현,Ancilaries,국내,에스지씨이앤씨 주식회사,한국넥슬렌 유한회사,박병호
ME23-682,2023-11-08 18:22,황태현,Steam Traps,수출,(주)대우건설,나이지리아 국영 석유공사,박병호
ME23-681,2023-11-08 15:10,정연택,Clean & Pure Steam Generators,수출,(주)에스씨티,엘지에너지솔루션(인도네시아),권일태
ME23-680,2023-11-08 13:31,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,노예경
ME23-679,2023-11-08 11:24,박준혁(울산),Heat Exchanger Packages,국내,(주)야정,고려아연(주) 온산제련소,유명훈
ME23-678,2023-11-07 17:09,오영근,Metering,국내,예진엔지니어링,한국바스프(주),김영민
ME23-677,2023-11-07 15:04,전대수,Steam Traps,국내,정엔지니어링(주),(No_Tax)금호석유화학(주)에너지,유명훈
ME23-676,2023-11-07 14:51,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,삼성전자(주)화성,유명훈
ME23-675,2023-11-07 13:35,오영근,Desuperheater & TVR,국내,(주)한강이엔지,한화솔루션(주)여수,김영민
ME23-674,2023-11-07 11:26,김승우,PNEL Controls,국내,삼성이앤에이(주),(No_Tax)삼성전자(주) 기흥사업장,유명훈
ME23-673,2023-11-07 10:36,권민성,Heat Exchanger Packages,국내,한국보훈복지의료공단대구보훈병원,한국보훈복지의료공단대구보훈병원,유명훈
ME23-672,2023-11-07 8:25,권혁미,ABCO,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME23-671,2023-11-06 18:42,이후원(DO_G),Steam Traps,국내,에스케이에코엔지니어링 주식회사,에스케이멀티유틸리티 주식회사,유명훈
ME23-670,2023-11-06 17:00,맵스코리아,Other STAP,국내,주식회사 이녹스첨단소재,주식회사 이녹스첨단소재,김영민
ME23-669,2023-11-02 17:53,김규현,Steam Traps,국내,주식회사 신성이엔지,(No_Tax)삼성전자(주) 기흥사업장,김영민
ME23-668,2023-11-02 14:05,황태현,Ancilaries,국내,현대건설(주),에쓰-오일 (S-OIL) (주),박병호
ME23-667,2023-11-02 14:02,황태현,Steam Traps,국내,현대건설(주),에쓰-오일 (S-OIL) (주),김영민
ME23-666,2023-11-01 18:49,전대수,Ancilaries,국내,(주)하이테크엔지니어링,(No_Tax)(주)엘지화학 (화치동),박병호
ME23-665,2023-11-01 14:04,양윤정,Heat Exchanger Packages,국내,기술사사무소 지맥,조선대학교병원,유명훈
ME23-664,2023-10-31 17:11,방병석(대구),Steam Traps,국내,대구광역시 상수도사업본부매곡정수,대구광역시 상수도사업본부매곡정수,김영민
ME23-663,2023-10-31 16:57,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,노예경
ME23-662,2023-10-31 11:04,양윤정,Sundry Products,국내,씨엔지건설(주),김해율하더스카이시티,박병호
ME23-661,2023-10-30 17:09,이현석,Ancilaries,국내,(No_Tax)롯데케미칼 주식회사 울산2공장,(No_Tax)롯데케미칼 주식회사 울산2공장,박병호
ME23-660,2023-10-30 10:52,EMS_이윤희,Other STAP,국내,엘지화학 청주 분리막공장,엘지화학 청주 분리막공장,김영민
ME23-659,2023-10-30 10:49,백성윤(인천),Other STAP,국내,주식회사 이에프,주식회사 이에프,노예경
ME23-658,2023-10-30 8:59,조현지,Other STAP,국내,라온엠앤이 주식회사,라온엠앤이 주식회사,노예경
ME23-657,2023-10-30 9:01,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,노예경
ME23-656,2023-10-27 14:22,조준만,Condensate Pumps,국내,씨앤티85 주식회사,주식회사 테크로스워터앤에너지,김영민
ME23-654,2023-10-26 17:03,박근국,Metering,국내,한화에너지(주)군산공장,한화에너지(주)군산공장,김영민
ME23-653,2023-10-26 14:49,이현석,Steam Traps,국내,SK가스 주식회사,SK가스 주식회사,노예경
ME23-652,2023-10-26 13:53,박기철,Condensate Pumps,국내,현대엔지니어링(주),기아㈜광명,김영민
ME23-651,2023-10-26 8:29,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,노예경
ME23-650,2023-10-25 13:57,지한웅,PNEL Controls,국내,현대제철 당진공장,현대제철 당진공장,유명훈
ME23-649,2023-10-25 10:19,김형욱,PNEL Controls,국내,(주)노무라마이크로사이언스코리아,삼성전자(주)화성,유명훈
ME23-648,2023-10-23 16:25,이후원(DO_G),Ancilaries,수출,삼성이앤에이(주),Sarawak Petchem,이건호
ME23-647,2023-10-23 10:59,김민곤,Steam Traps,국내,(주)케이씨씨대죽２공장,(주)케이씨씨대죽２공장,노예경
ME23-646,2023-10-23 10:17,엄주석,Steam Traps,국내,(주)성도이엔지,(주)셀트리온,노예경
ME23-645,2023-10-23 9:44,김민곤,Steam Traps,국내,에이치디현대케미칼주식회사,에이치디현대케미칼주식회사,박병호
ME23-644,2023-10-23 9:01,권혁미,Ancilaries,수출,SPIRAX UAE,SPIRAX UAE,박병호
ME23-643,2023-10-20 11:15,지한웅,Sundry Products,국내,(주)다원엔지니어링,현대제철 당진공장,박병호
ME23-641,2023-10-20 11:00,이동현,ABCO,국내,주식회사 한신비텍,포스코필바라리튬솔루션(주),김영민
ME23-640,2023-10-19 16:33,윤현석,Water Treatment,국내,이건에너지주식회사,이건에너지주식회사,황규효(PC)
ME23-639,2023-10-19 15:46,정숙현,Water Treatment,국내,한미프랜트(주),한미프랜트(주),황규효(PC)
ME23-638,2023-10-19 9:16,조현지,Steam Traps,국내,한화오션 (주),한화오션 (주),박병호
ME23-637,2023-10-18 18:14,임현섭,HEAT Exchangers,국내,현대제철(주),현대제철(주),유명훈
ME23-636,2023-10-18 16:18,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,김영민
ME23-635,2023-10-18 14:23,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME23-634,2023-10-17 15:42,엄주석,Other STAP,국내,(주)성도이엔지,(주)셀트리온,김영민
ME23-633,2023-10-16 17:34,오영근,Metering,국내,주식회사 제이아이테크,한화에너지(주) 여수공장,김영민
ME23-632,2023-10-16 17:26,오영근,Other STAP,국내,주식회사 제이아이테크,삼성이앤에이(주),김영민
ME23-631,2023-10-16 14:56,이후원(DO_G),Steam Traps,수출,삼성이앤에이(주),ADNOC,박병호
ME23-630,2023-10-16 11:27,이후원(DO_G),Other STAP,수출,지에스건설(주),KOC (Kuwait Oil Company),김영민
ME23-629,2023-10-13 19:43,안광현,Heat Exchanger Packages,국내,(No_Tax)금호석유화학(주)울산수지공장,(No_Tax)금호석유화학(주)울산수지공장,권일태
ME23-628,2023-10-13 16:40,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,유명훈
ME23-627,2023-10-13 10:34,지한웅,Sundry Products,국내,(주)다원엔지니어링,현대제철 당진공장,박병호
ME23-626,2023-10-13 10:05,김승우,PNEL Controls,국내,삼성이앤에이(주),(No_Tax)삼성전자(주) 기흥사업장,김영민
ME23-625,2023-10-12 20:26,이동현,SI Humidifiers,국내,(주)다람이엔지,삼성전자(주)평택,유명훈
ME23-624,2023-10-12 16:47,엄주석,Steam Traps,국내,(주) 영보이엔씨,(주)셀트리온,이건호
ME23-623,2023-10-12 13:46,백성윤(인천),PNEL Controls,국내,테크로스 워터앤에너지,테크로스 워터앤에너지,김영민
ME23-622,2023-10-12 10:11,HGN_정세훈,Heat Exchanger Packages,국내,서울아산병원,서울아산병원,유명훈
ME23-621,2023-10-12 10:16,지한웅,Sundry Products,국내,(주)다원엔지니어링,(주)다원엔지니어링,박병호
ME23-620,2023-10-12 9:42,이현석,Steam Traps,국내,에스케이멀티유틸리티 주식회사,에스케이멀티유틸리티 주식회사,김영민
ME23-619,2023-10-11 10:54,오영근,Ancilaries,국내,주식회사 범용텍,(No_Tax)롯데케미칼(주)여수1공장,박병호
ME23-618,2023-10-11 9:51,조현지,Steam Traps,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,유명훈
ME23-617,2023-10-11 10:28,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,김영민
ME23-616,2023-10-10 16:48,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME23-615,2023-10-10 15:37,이동현,Other STAP,국내,(주)수국,광양바이오메스,김영민
ME23-614,2023-10-10 15:17,박근국,Other STAP,국내,주식회사 우진이앤씨,OCI SE 주식회사,김영민
ME23-613,2023-10-10 12:02,박기철,Metering,국내,동우화인켐 ㈜ 평택공장,동우화인켐 ㈜ 평택공장,이건호
ME23-612,2023-10-10 11:22,박준혁(울산),Other STAP,국내,도레이첨단소재 울산공장,도레이첨단소재 울산공장,김영민
ME23-611,2023-10-10 10:21,김승우,Other STAP,국내,삼성이앤에이(주),(No_Tax)삼성전자(주) 기흥사업장,김영민
ME23-610,2023-10-05 20:34,박근국,Other STAP,국내,S.K.M (에스케이엠),롯데칠성음료(주)군산공장,김영민
ME23-609,2023-10-05 15:17,조현지,Steam Traps,국내,삼성중공업(주)거제조선소,삼성중공업(주)거제조선소,이건호
ME23-608,2023-10-05 10:18,한스텍,Heat Exchanger Packages,국내,앰코테크놀로지코리아(주),앰코테크놀로지코리아(주),유명훈
ME23-607,2023-10-04 17:53,김형욱,PNEL Controls,국내,쿠리타한수 주식회사,삼성전자(주)평택,유명훈
ME23-606,2023-10-04 17:54,이후원(DO_G),Steam Traps,국내,롯데건설(주),한국지역난방공사대구지사,박병호
ME23-605,2023-10-04 15:12,조준만,PNEL Controls,국내,환경에너지솔루션 주식회사,(주)코엔텍,유명훈
ME23-604,2023-10-04 14:50,전대수,Steam Traps,국내,(No_Tax)현대제철(주)순천공장,(No_Tax)현대제철(주)순천공장,유명훈
ME23-603,2023-10-04 14:15,이플러스,Ancilaries,국내,(주)스페어서브,(주)스페어서브,권일태
ME23-602,2023-10-04 12:55,이후원(DO_G),Steam Traps,수출,삼성이앤에이(주),ADNOC,황서원
ME23-601,2023-09-27 13:50,양윤정,Sundry Products,국내,(주)백산이엔씨,주식회사포스코,박병호
ME23-599,2023-09-25 13:24,엄주석,Heat Exchanger Packages,국내,(주)녹십자이엠,코아스템켐온(주),유명훈
ME23-598,2023-09-25 13:55,양윤정,Clean & Pure Steam Generators,국내,(주)C&H ENGINEERING,머크라이프사이언스 대전,이건호
ME23-597,2023-09-22 17:56,조현지,Ancilaries,국내,삼성중공업(주)거제호텔,삼성중공업(주)거제호텔,김영민
ME23-596,2023-09-22 16:03,권혁미,Pressure Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,유명훈
ME23-595,2023-09-22 8:42,권민성,Steam Traps,국내,(주)클린솔루션,(주)실트론제 2 공장,노예경
ME23-594,2023-09-21 13:08,황태현,ABCO,국내,(주)한화건설,(주)한화,김영민
ME23-593,2023-09-21 11:38,조준만,Desuperheater & TVR,국내,신한열기(주),지에스건설(주),이건호
ME23-592,2023-09-21 10:12,EMS_이윤희,Other STAP,국내,SK하이닉스(청주),SK하이닉스(청주),김영민
ME23-590,2023-09-20 17:42,남철규,SI Humidifiers,국내,(주)삼화에이스,삼성바이오로직스 주식회사,유명훈
ME23-589,2023-09-20 14:16,지한웅,Heat Exchanger Packages,국내,건우엔지니어링,현대제철 당진공장,권일태
ME23-588,2023-09-20 11:36,지한웅,Other STAP,국내,현대로템,현대제철 당진공장,김영민
ME23-587,2023-09-20 11:10,박남용,PNEL Controls,국내,(주)상수,신창제지(주),김영민
ME23-586,2023-09-20 11:08,황태현,Steam Traps,수출,현대엔지니어링(주),IEPL NIGERIA,노예경
ME23-585,2023-09-20 9:53,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,유명훈
ME23-584,2023-09-19 14:02,하태욱,PNEL Controls,국내,BAT코리아제조(주),BAT코리아제조(주),김영민
ME23-583,2023-09-19 8:44,오영근,Other STAP,국내,디엘케미칼(주)여수공장,디엘케미칼(주)여수공장,김영민
ME23-582,2023-09-18 16:45,오영근,Steam Traps,국내,지에스칼텍스(주)여수,지에스칼텍스(주)여수,김영민
ME23-581,2023-09-15 15:43,장철민,SI Humidifiers,수출,케이엔솔 주식회사,SK이노베이션(미국),유명훈
ME23-580,2023-09-15 14:20,엄주석,Ancilaries,국내,에스케이에코엔지니어링 주식회사,에스케이지오센트릭주식회사,박병호
ME23-579,2023-09-15 14:07,남철규,SI Humidifiers,수출,앰코테크놀로지베트남,앰코테크놀로지베트남,유명훈
ME23-578,2023-09-15 11:14,김형욱,Condensate Pumps,수출,베델엔지니어링,SK이노베이션 (중국),김영민
ME23-577,2023-09-15 10:29,오영근,Steam Traps,국내,정엔지니어링(주),CEK주식회사,노예경
ME23-576,2023-09-14 17:35,김원근,Ancilaries,국내,SK에너지 주식회사 울산 CLX,SK에너지 주식회사 울산 CLX,박병호
ME23-575,2023-09-14 16:29,맵스코리아,Clean & Pure Steam Generators,국내,(No_Tax)애경소재(주)청양공장,(No_Tax)애경소재(주)청양공장,이건호
ME23-574,2023-09-14 14:09,오영근,Ancilaries,국내,지에스칼텍스(주)여수,지에스칼텍스(주)여수,박병호
ME23-573,2023-09-14 12:58,박근국,Water Treatment,국내,한국화학연구원,한국화학연구원,황규효(PC)
ME23-572,2023-09-14 12:58,박근국,Water Treatment,국내,한국화학연구원,한국화학연구원,황규효(PC)
ME23-571,2023-09-13 18:32,이동현,Ancilaries,국내,청남공조(주),아미코젠 송도공장,유명훈
ME23-570,2023-09-13 9:36,권민성,Other STAP,국내,태아산업 김천공장,태아산업 김천공장,노예경
ME23-569,2023-09-12 15:04,지한웅,PNEL Controls,국내,현대제철 당진공장,현대제철 당진공장,이건호
ME23-568,2023-09-11 19:52,박준혁(울산),Ancilaries,국내,(주)야정,S-OIL(주)온산공장,박병호
ME23-567,2023-09-11 16:06,조준만,PNEL Controls,국내,환경에너지솔루션 주식회사,(주)코엔텍,이건호
ME23-566,2023-09-11 15:09,박남용,Other STAP,국내,(주)아이맥인더스트리,한국에너지기술평가원,김영민
ME23-565,2023-09-11 11:15,이동현,SI Humidifiers,국내,청남공조(주),청남공조(주),유명훈
ME23-564,2023-09-11 11:15,이동현,PNEL Controls,국내,청남공조(주),청남공조(주),유명훈
ME23-563,2023-09-08 11:20,이현석,Heat Exchanger Packages,국내,(주)후성,(주)후성,유명훈
ME23-562,2023-09-08 9:51,EPE_정영호,PNEL Controls,국내,르노삼성자동차주식회사,르노삼성자동차주식회사,유명훈
ME23-561,2023-09-07 20:10,하태욱,Clean & Pure Steam Generators,국내,(주)한국바이오솔루션,(주)한국바이오솔루션,이건호
ME23-559,2023-09-07 11:33,황태현,Steam Traps,국내,현대엔지니어링(주),(No_Tax)(주)엘지화학 대산공장,박병호
ME23-558,2023-09-07 9:20,황태현,Pressure Controls,수출,현대건설(주),SCOP(이라크),박병호
ME23-557,2023-09-07 9:20,황태현,Pressure Controls,수출,현대건설(주),SCOP(이라크),노예경
ME23-556,2023-09-06 15:42,양윤정,Clean & Pure Steam Generators,국내,삼신설계,여수전남병원,이건호
ME23-555,2023-09-06 8:54,지한웅,Steam Traps,국내,한국서부발전(주)태안발전본부,한국서부발전(주)태안발전본부,유명훈
ME23-554,2023-09-06 6:01,조준만,Water Treatment,국내,(주)드림엔지니어링,인천공항에너지(주),황규효(PC)
ME23-553,2023-09-06 5:50,조준만,Water Treatment,국내,(주)드림엔지니어링,(주)드림엔지니어링,황규효(PC)
ME23-552,2023-09-05 17:36,한상영,ABCO,국내,(No_Tax)한국쓰리엠(주),(No_Tax)한국쓰리엠(주),김영민
ME23-551,2023-09-05 9:20,조준만,ABCO,국내,동아기계공업주식회사,주식회사 테크로스워터앤에너지,이건호
ME23-549,2023-09-05 9:05,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,김영민
ME23-548,2023-09-05 8:07,권혁미,Other STAP,수출,SPIRAX UAE,SPIRAX UAE,김영민
ME23-547,2023-09-01 14:24,김금규,Sundry Products,국내,(주)ＬＧ생명과학익산공장,(주)ＬＧ생명과학익산공장,박병호
ME23-546,2023-09-01 8:58,오영근,Metering,국내,예진엔지니어링,한국바스프(주),김영민
ME23-545,2023-09-01 8:39,김동욱(설계),Condensate Pumps,국내,일송엔지니어링,기아(주)화성,김영민
ME23-544,2023-08-31 16:19,조준만,Other STAP,국내,KC코트렐(주),KC코트렐(주),노예경
ME23-543,2023-08-31 15:43,이현석,Water Treatment,국내,KPX케미칼(주)울산공장,KPX케미칼(주)울산공장,황규효(PC)
ME23-542,2023-08-31 15:40,지한웅,,국내,현대로템,현대제철 당진공장,노예경
ME23-541,2023-08-31 11:24,백성윤(인천),Condensate Pumps,국내,SK인천석유화학(주),SK인천석유화학(주),김영민
ME23-540,2023-08-31 9:47,권민성,PNEL Controls,국내,삼성전자(주)구미 2 공장,삼성전자(주)구미 2 공장,유명훈
ME23-539,2023-08-31 4:06,조준만,PNEL Controls,국내,환경에너지솔루션 주식회사,(주)코엔텍,유명훈
ME23-538,2023-08-30 18:30,윤현석,Water Treatment,국내,(주)이건그린텍,(주)이건그린텍,황규효(PC)
ME23-537,2023-08-30 15:51,장철민,Ancilaries,국내,주식회사 제이에스피산업,태림포장(주)청원공장,유명훈
ME23-536,2023-08-29 13:10,한상영,ABCO,국내,나투라페이퍼(주),나투라페이퍼(주),이건호
ME23-535,2023-08-29 9:57,박근국,Other STAP,국내,타타대우모빌리티 주식회사,타타대우모빌리티 주식회사,김영민
ME23-534,2023-08-29 9:39,권순범,Other STAP,국내,(주)삼양사 울산1공장,(주)삼양사 울산1공장,김영민
ME23-533,2023-08-28 17:44,오영근,Steam Traps,국내,정엔지니어링(주),CEK주식회사,노예경
ME23-532,2023-08-28 16:57,오영근,Other STAP,국내,디엘케미칼(주)여수공장,디엘케미칼(주)여수공장,김영민
ME23-531,2023-08-28 16:36,박남용,Condensate Pumps,국내,(주)히릭스태화,창원시설공단,김영민
ME23-528,2023-08-28 9:55,김원근,Condensate Pumps,국내,에스케이지오센트릭주식회사 울산 CLX,에스케이지오센트릭주식회사 울산 CLX,김영민
ME23-527,2023-08-24 16:56,EMS_이윤희,Heat Exchanger Packages,국내,영보화학(주),영보화학(주),유명훈
ME23-526,2023-08-23 17:41,김금규,Heat Exchanger Packages,국내,(주)하림,(주)하림,유명훈
ME23-525,2023-08-23 10:26,박남용,Steam Traps,수출,두산에너빌리티 주식회사,,김영민
ME23-524,2023-08-23 10:33,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,김영민
ME23-523,2023-08-23 9:59,황태현,Steam Traps,국내,현대엔지니어링(주),(No_Tax)(주)엘지화학 대산공장,박병호
ME23-522,2023-08-22 17:54,김승우,PNEL Controls,국내,주식회사 아이엠에스,(No_Tax)삼성전자(주) 기흥사업장,김영민
ME23-521,2023-08-22 10:16,박준혁(울산),Other STAP,국내,(주)야정,엘에스엠앤엠 주식회사,김영민
ME23-520,2023-08-21 17:16,지한웅,Sundry Products,국내,현대제철 당진공장,현대제철 당진공장,유명훈
ME23-519,2023-08-21 15:07,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,김영민
ME23-518,2023-08-21 8:41,오영근,Other STAP,국내,디엘케미칼(주)여수공장,디엘케미칼(주)여수공장,김영민
ME23-517,2023-08-18 16:09,오영근,Other STAP,국내,정엔지니어링(주),한화솔루션(주)여수,김영민
ME23-516,2023-08-17 18:50,하태욱,Other STAP,국내,(No_Tax)엘지전자(주)창원２공장,(No_Tax)엘지전자(주)창원２공장,김영민
ME23-515,2023-08-17 14:57,조준만,Condensate Pumps,국내,(주)귀뚜라미범양냉방,디엘이앤씨 주식회사,김영민
ME23-514,2023-08-17 13:06,조준만,Heat Exchanger Packages,국내,(주)귀뚜라미범양냉방,디엘이앤씨 주식회사,유명훈
ME23-513,2023-08-17 14:51,권혁미,Other STAP,수출,SPIRAX SARCO SINGAPORE,SPIRAX SARCO SINGAPORE,김영민
ME23-512,2023-08-17 14:20,권혁미,PNEL Controls,수출,SPIRAX SARCO JAPAN,SPIRAX SARCO JAPAN,유명훈
ME23-511,2023-08-17 9:50,남철규,SI Humidifiers,국내,주식회사 한국표준엔지니어링,주식회사 한국표준엔지니어링,유명훈
ME23-510,2023-08-17 8:51,김원근,Ancilaries,수출,현대중공업(주)-선박,현대중공업(주)-선박,노예경
ME23-509,2023-08-16 7:36,KHP(서부),Steam Traps,국내,(주)동부이엔씨,롯데케미칼 주식회사 대산공장,유명훈
ME23-508,2023-08-11 14:12,김형욱,Condensate Pumps,국내,(주)디에치이텍,현대약품공업(주)천안,김영민
ME23-507,2023-08-11 14:12,김형욱,Condensate Pumps,국내,(주)디에치이텍,현대약품공업(주)천안,김영민
ME23-506,2023-08-11 13:16,이후원(DO_G),Steam Traps,국내,에스케이에코엔지니어링 주식회사,에스케이가스(주),황서원
ME23-505,2023-08-10 0:22,하태욱,SI Humidifiers,국내,씨앤티85 주식회사,씨앤티85 주식회사,유명훈
ME23-504,2023-08-09 15:32,EPE_정영호,Other STAP,수출,유진마린,유진마린,김영민
ME23-503,2023-08-09 15:32,EPE_정영호,Other STAP,수출,유진마린,유진마린,김영민
ME23-502,2023-08-09 15:15,김민곤,Ancilaries,국내,에이치디현대오일뱅크(주),에이치디현대오일뱅크(주),박병호
ME23-501,2023-08-09 14:04,황태현,Other STAP,국내,현대엔지니어링(주),(No_Tax)(주)엘지화학 대산공장,김영민
ME23-500,2023-08-09 11:36,강호신,Water Treatment,국내,송원산업(주),송원산업(주),황규효(PC)
ME23-499,2023-08-07 17:35,이현석,Steam Traps,국내,비룡,에스케이멀티유틸리티 주식회사,김영민
ME23-498,2023-08-07 15:02,김민곤,Ancilaries,국내,에이치디현대오일뱅크(주),에이치디현대오일뱅크(주),박병호
ME23-497,2023-08-07 9:21,하태욱,Heat Exchanger Packages,국내,한국항공우주산업(주),한국항공우주산업(주),유명훈
ME23-496,2023-08-07 8:53,강호신,Water Treatment,국내,(주)대성에코에너지센터,(주)대성에코에너지센터,황규효(PC)
ME23-495,2023-08-04 16:29,박남용,Steam Traps,국내,롯데건설(주),충남 내포지구 집단에너지,김영민
ME23-494,2023-08-04 15:37,박남용,Condensate Pumps,국내,(주)히릭스태화,창원시설공단,권일태
ME23-493,2023-08-04 16:00,윤현석,Other STAP,국내,한국서부발전(주)서인천발전본부,한국서부발전(주)서인천발전본부,김영민
ME23-492,2023-08-04 10:12,엄주석,Steam Traps,국내,(주)성도이엔지,(주)셀트리온,유명훈
ME23-491,2023-08-03 17:09,정숙현,Water Treatment,국내,동일플랜트 주식회사,동일플랜트 주식회사,황규효(PC)
ME23-490,2023-08-03 14:57,이동현,ABCO,국내,주식회사 케이제이보일러,태림포장(주)청원공장,이건호
